SQL Text,Exec Count,Calls,DB2 SSID,Plan,Program,Current Schema,Section,Collection,Contoken,Package Version,Elapsed,%Elap,AvgX Elapsed,CPU,%CPU,AvgX Cpu,<%CPU>,Delay,%Delay,AvgX Delays,<%DLY>,<%UAT>,Getpages,AvgX Getpages,zIIP CPU,<%zIIP>,Avg CPU,Avg Elapsed,Avg Delay,Avg Getpages,Accel Elig Elapsed,Accel Elig CPU,Accel Elig zIIP
COMMIT                                                                          ,236,236,QB1N,ABP22QAP,ABPRUSQL,ABPSTC,0,ABP22QA,1A5DAE3F179CE183,,0.252549,0.7,0.00107,0.005806,1.27,0.000024,2.3,0.243302,0.69,0.00103,96.34,1.36,0,0,0,0,0.000024,0.00107,0.00103,0,0,0,0
COMMIT                                                                          ,228,228,QB1N,ABP22QAP,ABPRSLOG,ABPSTC,0,ABP22QA,19F0663905B6C6D7,,0.238912,0.66,0.001047,0.003853,0.84,0.000016,1.61,0.234606,0.66,0.001028,98.2,0.19,0,0,0,0,0.000016,0.001047,0.001028,0,0,0,0
"INSERT INTO ABPLOG ( INSERTED , ABPID , MSGID , MSGTEXT ) VALUES ( CURRENT TIMES",224,224,QB1N,ABP22QAP,ABPRSLOG,ABPSTC,1,ABP22QA,19F0663905B6C6D7,PI40393,0.051294,0.14,0.000228,0.014039,3.08,0.000062,27.37,0.031681,0.09,0.000141,61.76,10.87,899,4.01,0,0,0.000062,0.000228,0.000141,4.01,0,0,0
"GET DIAGNOSTICS CONDITION : H : H = DB2_RETURNED_SQLCODE , : H = MESSAGE_TEXT , ",212,212,QB1N,DSNTEP2 ,DSN@EP2L,TS5465,4,DSNTEP2,1A60FFA01381EC9A,VBR1.PI83537,0.002153,0.01,0.00001,0.001675,0.37,0.000007,77.8,0,0,0,0,22.2,0,0,0,0,0.000007,0.00001,0,0,0,0,0
GET DIAGNOSTICS : H = NUMBER ,212,212,QB1N,DSNTEP2 ,DSN@EP2L,TS5465,3,DSNTEP2,1A60FFA01381EC9A,VBR1.PI83537,0.005874,0.02,0.000027,0.002213,0.48,0.00001,37.67,0,0,0,0,62.33,0,0,0,0,0.00001,0.000027,0,0,0,0,0
COMMIT                                                                          ,164,164,QB1N,ABP22QAP,ABPRBTHD,ABPSTC,0,ABP22QA,1A8DE62C05AE3A1D,,0.110643,0.31,0.000674,0.002904,0.64,0.000017,2.63,0.106458,0.3,0.000649,96.22,1.16,0,0,0,0,0.000017,0.000674,0.000649,0,0,0,0
SELECT COUNT ( DISTINCT ( STMT_ID ) ) INTO : H FROM SYSIBM . SYSPACKSTMT WHERE N,132,132,QB1N,CQMPLN33,CQM@STX8,CQMSTC,29,CQMQB1N,1A66A9AC045596BF,PI85009,0.111177,0.31,0.000842,0.015148,3.32,0.000114,13.63,0.066267,0.19,0.000502,59.61,26.77,1747,13.23,0,0,0.000114,0.000842,0.000502,13.23,0,0,0
SELECT ENCODING_SCHEME INTO : H FROM SYSIBM . SYSTABLES WHERE NAME = 'SYSCOLUMNS,132,132,QB1N,CQMPLN33,CQM@SETP,CQMSTC,6,CQMQB1N,1A26D5AF1A3296CF,H238330,0.007506,0.02,0.000056,0.001491,0.33,0.000011,19.87,0.000758,0,0.000005,10.1,70.02,396,3,0,0,0.000011,0.000056,0.000005,3,0,0,0
SELECT ENCODING_SCHEME INTO : H FROM SYSIBM . SYSTABLES WHERE NAME = 'SYSTABLES',132,132,QB1N,CQMPLN33,CQM@SETP,CQMSTC,5,CQMQB1N,1A26D5AF1A3296CF,H238330,0.001094,0,0.000008,0.001071,0.23,0.000008,97.97,0,0,0,0,2.03,396,3,0,0,0.000008,0.000008,0,3,0,0,0
SELECT ENCODING_SCHEME INTO : H FROM SYSIBM . SYSTABLES WHERE NAME = 'SYSPACKAGE,132,132,QB1N,CQMPLN33,CQM@SETP,CQMSTC,4,CQMQB1N,1A26D5AF1A3296CF,H238330,0.001275,0,0.000009,0.001129,0.25,0.000008,88.55,0,0,0,0,11.45,396,3,0,0,0.000008,0.000009,0,3,0,0,0
